tree_dbh,status,health,spc_common,latitude,longitude
9,Alive,Good,yellow,40.76715512,-73.98001947
10,Alive,Good,yellow,40.73174877,-74.00500526
10,Alive,Good,yellow,40.80671896,-73.9547094
10,Alive,Good,yellow,40.80665352,-73.95455476
17,Alive,Good,yellow,40.73446451,-74.00571244
19,Alive,Good,yellow,40.73169165,-74.00454521
3,Alive,Poor,yellow,40.71693362,-74.00260115
18,Alive,Good,yellow,40.73183673,-74.00408369
3,Alive,Fair,yellow,40.7169714,-74.00267644
17,Alive,Good,yellow,40.73174386,-74.00437914
3,Alive,Poor,yellow,40.7168348,-74.0024042
21,Alive,Good,yellow,40.73137138,-74.00533982
11,Alive,Good,yellow,40.78408648,-73.9464163
12,Alive,Fair,yellow,40.78393394,-73.9460544
12,Alive,Good,yellow,40.78404788,-73.94632472
12,Alive,Good,yellow,40.78412588,-73.94650977
11,Alive,Good,yellow,40.78401034,-73.94623566
10,Alive,Fair,yellow,40.76643716,-73.97029496
17,Alive,Good,yellow,40.7347266,-74.00394681
6,Alive,Good,yellow,40.76650876,-73.970464
17,Alive,Good,yellow,40.76647884,-73.97039335
19,Alive,Good,yellow,40.77405021,-73.97865298
21,Alive,Good,yellow,40.77461599,-73.97999693
15,Alive,Fair,yellow,40.77413133,-73.97884565
16,Alive,Good,yellow,40.77423371,-73.97908885
31,Alive,Good,yellow,40.78821943,-73.95568238
13,Alive,Good,yellow,40.77456812,-73.97988323
14,Alive,Good,yellow,40.78805764,-73.95575978
19,Alive,Good,yellow,40.73470387,-74.00409133
12,Alive,Good,yellow,40.80233933,-73.94124999
18,Alive,Good,yellow,40.77409449,-73.97875816
2,Alive,Good,yellow,40.78802875,-73.9558197
22,Alive,Good,yellow,40.78811591,-73.95575693
11,Alive,Fair,yellow,40.80242347,-73.94118896
11,Alive,Good,yellow,40.7883846,-73.95556343
13,Alive,Good,yellow,40.7882647,-73.95561067
14,Alive,Good,yellow,40.8040559,-73.95169172
2,Alive,Good,yellow,40.86994204,-73.92066071
17,Alive,Good,yellow,40.78832634,-73.95560539
5,Alive,Fair,yellow,40.86909759,-73.91608321
3,Alive,Good,yellow,40.78844383,-73.95548167
4,Alive,Good,yellow,40.78843757,-73.95552529
4,Alive,Good,yellow,40.78853195,-73.95545732
9,Alive,Fair,yellow,40.80751573,-73.94135721
12,Alive,Poor,yellow,40.73145225,-74.00100065
3,Alive,Good,yellow,40.8700324,-73.92052852
3,Alive,Good,yellow,40.86998832,-73.920593
3,Alive,Fair,yellow,40.77742406,-73.9823454
5,Alive,Fair,yellow,40.77738418,-73.98237865
11,Alive,Poor,yellow,40.73130724,-74.00110628
4,Alive,Fair,yellow,40.86961197,-73.91558556
5,Alive,Fair,yellow,40.83508183,-73.93841091
18,Alive,Good,yellow,40.74622117,-73.99684848
12,Alive,Fair,yellow,40.72924385,-74.00223889
17,Alive,Good,yellow,40.74599334,-73.99630481
3,Alive,Good,yellow,40.8702157,-73.92026037
17,Alive,Good,yellow,40.74582512,-73.99590338
14,Alive,Fair,yellow,40.72934128,-74.00215601
4,Alive,Good,yellow,40.86776756,-73.92671948
3,Alive,Good,yellow,40.87012423,-73.92039417
13,Alive,Fair,yellow,40.72937288,-74.00217741
15,Alive,Good,yellow,40.73429375,-73.98533393
14,Alive,Fair,yellow,40.72922785,-74.00224651
18,Alive,Fair,yellow,40.72946292,-74.00198772
2,Alive,Good,yellow,40.86864693,-73.92373581
3,Alive,Good,yellow,40.87007832,-73.92046135
17,Alive,Fair,yellow,40.72949121,-74.00208458
20,Alive,Good,yellow,40.76623661,-73.97147004
20,Alive,Good,yellow,40.76751131,-73.97053758
3,Alive,Poor,yellow,40.82305099,-73.95214438
3,Alive,Good,yellow,40.87016978,-73.92032754
12,Alive,Good,yellow,40.86885144,-73.92315744
6,Alive,Fair,yellow,40.82370525,-73.94941198
1,Alive,Poor,yellow,40.86861034,-73.923839
16,Alive,Good,yellow,40.78841056,-73.9552867
16,Alive,Good,yellow,40.78830715,-73.95536155
9,Alive,Good,yellow,40.78803877,-73.95555581
3,Alive,Good,yellow,40.78577889,-73.95334338
6,Alive,Fair,yellow,40.77349493,-73.98177752
6,Alive,Poor,yellow,40.77328429,-73.98193002
7,Alive,Fair,yellow,40.82275595,-73.94656504
7,Alive,Fair,yellow,40.77338937,-73.98185394
21,Alive,Good,yellow,40.74630809,-73.99680181
13,Alive,Good,yellow,40.82293875,-73.94739725
2,Alive,Good,yellow,40.72520006,-73.98403662
5,Alive,Good,yellow,40.7180115,-73.99034398
4,Alive,Good,yellow,40.86958977,-73.92079861
11,Alive,Good,yellow,40.78414737,-73.95272086
10,Alive,Good,yellow,40.78410666,-73.95262338
3,Alive,Good,yellow,40.72575111,-74.00843177
4,Alive,Good,yellow,40.78758329,-73.95306898
4,Alive,Good,yellow,40.86966712,-73.92084702
14,Alive,Good,yellow,40.78837208,-73.95553334
16,Alive,Good,yellow,40.82333455,-73.9449855
5,Alive,Good,yellow,40.72840655,-74.00411672
4,Alive,Good,yellow,40.82049166,-73.94412855
6,Alive,Good,yellow,40.73555032,-73.98675656
3,Alive,Good,yellow,40.82042682,-73.9439751
3,Alive,Fair,yellow,40.86915019,-73.9219251
6,Alive,Good,yellow,40.86861854,-73.91998194
3,Alive,Fair,yellow,40.87020756,-73.92054304
6,Alive,Good,yellow,40.86851473,-73.91991592
11,Alive,Good,yellow,40.78917107,-73.97405483
5,Alive,Good,yellow,40.86877426,-73.92008096
5,Alive,Good,yellow,40.86870728,-73.92003836
5,Alive,Good,yellow,40.86883606,-73.92012025
2,Alive,Poor,yellow,40.86959537,-73.92143616
4,Alive,Good,yellow,40.82075717,-73.94475687
3,Alive,Fair,yellow,40.86919078,-73.92182866
2,Alive,Fair,yellow,40.82791635,-73.94790912
12,Alive,Good,yellow,40.7744614,-73.97767822
5,Alive,Good,yellow,40.71790858,-73.99039624
14,Alive,Good,yellow,40.73832691,-73.98415939
